new_Date,A069500 종가(원),A252650 종가(원),A251890 종가(원),A156080 종가(원),A226980 종가(원),A229200 종가(원)
2020-03-02,0.009562339,-0.010779962,0.025988701,0.010752688,0.008157716,0.02866242
2020-03-03,0.004553734,0.016025641,0.009361233,0.011018237,0.002697235,-0.005675955
2020-03-04,0.022665458,0.015141956,0.009819967,0.01578354,0.014794889,0.016606124
2020-03-05,0.008865248,0.013673089,0.016207455,0.007769145,0.017229954,0.014293007
2020-03-06,-0.020035149,-0.017167382,-0.014885699,-0.020190896,-0.019543974,-0.009562154
2020-03-09,-0.042144907,-0.03930131,-0.03993524,-0.043087299,-0.02923588,-0.038617886
2020-03-10,0.005616926,-0.003246753,0.008431703,-0.003523884,-0.004791239,0.016913319
2020-03-11,-0.029789611,-0.017589577,-0.039018952,-0.020825147,-0.027510316,-0.042099792
2020-03-12,-0.033582806,-0.043766578,-0.048143852,-0.04494382,-0.055869873,-0.051003798
2020-03-13,-0.025814138,-0.063800277,-0.073126143,-0.013445378,-0.05093633,-0.042881647
2020-03-16,-0.036282104,-0.01037037,-0.036817883,0.001277683,-0.016574586,-0.033452808
2020-03-17,-0.022419628,-0.023952096,0.017064846,-0.05572097,-0.006420546,0.040173053
2020-03-18,-0.054954565,-0.047546012,-0.053020134,-0.050900901,-0.055735057,-0.065953654
2020-03-19,-0.073260073,-0.090982287,-0.117647059,-0.073564309,-0.111206159,-0.081424936
2020-03-20,0.076828063,0.003542958,0.086746988,0.046618852,0.092396535,0.087257618
2020-03-23,-0.058729066,-0.00353045,-0.03917221,-0.030837004,-0.074008811,-0.051592357
2020-03-24,0.092858884,0.00088574,0.070769231,0.084848485,0.064700285,0.094694426
2020-03-25,0.057314897,0.132743363,0.037356322,0.058659218,0.067024129,0.026993865
2020-03-26,-0.019405189,0.01015625,0.04432133,-0.006596306,0.01758794,0.008960573
2020-03-27,0.024091202,0.017014695,0.01193634,-0.002213369,0.013168724,0.012433393
2020-03-30,-0.005881117,0.002281369,0.01965924,0.002218279,0.016246954,0.025730994
2020-03-31,0.017747729,0.040212443,0.049485861,0.016378929,0.043165468,0.058722919
2020-04-01,-0.046917168,-0.024799416,-0.018983466,-0.036149826,-0.016091954,-0.036618201
2020-04-02,0.030712263,0.023186238,0.020599251,-0.001355626,0.014018692,0.02627166
2020-04-03,-0.002535926,0.001461988,0.013455657,0.018099548,0.004608295,0.006535948
2020-04-06,0.039830508,0.042335766,0.034399517,0.043555556,0.044342508,0.04004329
2020-04-07,0.015688672,0.024509804,0.014585764,0.016183986,0.027086384,0.004162331
2020-04-08,-0.014643932,-0.004101162,0.012650949,-0.012154233,-0.002138275,-0.004663212
2020-04-09,0.015879479,0.011667811,0.004542873,0.009333899,0.012142857,0.008328995
2020-04-10,0.008416834,-0.001356852,0.000565291,0.008827238,-0.000705716,-0.007743934
2020-04-13,-0.01709062,-0.000679348,-0.022033898,-0.011666667,-0.01200565,-0.020811655
2020-04-14,0.017387788,0.008157716,0.01502022,0.017284992,0.020729092,0.026567481
2020-04-16,0,0.010114633,0.026750142,-0.012018235,0.008403361,0.025879917
2020-04-17,0.030405405,0.017356475,0.016075388,0.044463087,0.011111111,0.014127144
2020-04-20,-0.01195757,0.004593176,0.008183306,-0.015662651,0.015796703,-0.002985075
2020-04-21,-0.011126293,-0.013716525,-0.015151515,-0.022031824,-0.020960108,-0.00998004
2020-04-22,0.008685353,-0.009933775,-0.002747253,0.012098456,0.010359116,0.010080645
2020-04-23,0.009784736,0.029431438,0.01707989,0.013602638,0.010252905,0.005489022
2020-04-24,-0.014922481,-0.013645224,-0.007583965,-0.012606751,-0.01082544,-0.014888337
2020-04-27,0.019870155,0.027667984,0.0180131,0.016062603,0.022571819,0.019143577
2020-04-28,-0.010416667,-0.012179487,-0.002680965,-0.013781921,-0.010702341,-0.016806723
2020-04-29,0.00662768,0.001297859,-0.004301075,0.012330456,0.011494253,-0.000502765
2020-05-04,-0.030402789,-0.02073882,0.002699784,-0.027608607,-0.026069519,-0.00804829
2020-05-06,0.018573996,0.013898081,0.017232095,0.011273486,0.013726836,0.028397566
2020-05-07,-0.002352941,0,0.023822128,0.003715937,-0.001354096,0.010848126
2020-05-08,0.008647799,0.011749347,0.010341262,0.011517894,0.013559322,0.030731707
2020-05-11,-0.007209665,-0.001290323,0.014841351,-0.004473363,0.001337793,0.003312825
2020-05-12,-0.007065751,-0.011627907,-0.002017146,-0.012254902,-0.008684035,-0.004716981
2020-05-13,0.011464716,0.009150327,0.004547751,0,0.001347709,0.015165877
2020-05-14,-0.010553058,-0.00388601,0,-0.004549214,0.006056528,-0.003734827
2020-05-15,0.002370136,0.008452536,0,0,0.006020067,0.000468604
2020-05-18,0.006502463,0.005157963,0.004527163,0.013710012,0.013962766,-0.009836066
2020-05-19,0.025841817,0.017960231,0.008512769,0.018852459,0.013770492,0.008514664
2020-05-20,0.002290076,0.005671078,0.016881827,0.00160901,0.009702458,0.015947467
2020-05-21,0.004379284,0.006892231,0.004882813,0.01124498,0.00640615,0.00877193
2020-05-22,-0.016872038,-0.017423771,-0.008260447,-0.022637014,-0.020369192,-0.013272311
2020-05-25,0.012533745,0.010132996,0.019598236,0.013409183,0.016244314,0.015769944
2020-05-26,0.018091792,0.015673981,0.012013455,0.018043304,0.014066496,0.011872146
2020-05-27,0.000561167,0.009876543,-0.005698006,0.00472627,0.008196721,-0.00631769
2020-05-28,0.002991213,-0.023227384,-0.033428844,0.002744022,-0.017510944,-0.025431426
2020-05-29,-0.001863933,0.015018773,0.019762846,0.001172791,-0.003819223,0.01444548
2020-06-01,0.019794585,0.009864365,0.024709302,0.016399844,0.017252396,0.042259991
2020-06-02,0.010437649,0.014652015,0.010874704,0.012293507,0.01758794,0.014103129
2020-06-03,0.036607466,0.03188929,-0.003274088,0.034155598,0.015432099,-0.003042156
2020-06-04,0.001223776,-0.005247813,0.006569686,0.00146789,0.003039514,0.003923278
2020-06-05,0.016762703,0.011723329,0.00979021,0.015756687,0.02,0.013460703
2020-06-08,-0.001373862,0.008690614,0.004155125,0,0.002970885,0.004712939
2020-06-09,0.000515907,-0.001723148,-0.011034483,-0.001803752,0.012440758,0.000426439
2020-06-10,0.003093847,0.007479862,0.011622501,0.007950849,0.001755413,0.011935209
2020-06-11,-0.016449623,-0.013135351,0.011029412,-0.020437433,-0.012266355,0.00042123
2020-06-12,-0.020383275,-0.038194444,-0.02,-0.014641288,-0.026020106,-0.015578947
2020-06-15,-0.050329006,-0.046329723,-0.06864564,-0.046433878,-0.060716454,-0.070145423
2020-06-16,0.061423221,0.044794953,0.050796813,0.049863654,0.063994829,0.072677093
2020-06-17,-0.002822865,0.013285024,-0.007109005,-0.003710575,-0.0036452,-0.004288165
2020-06-18,-0.002830856,0,0.009546539,0,0.009146341,-0.003445306
2020-06-19,0.003548616,-0.007151371,0.006619385,0.008193669,-0.011480363,0.003025065
2020-06-22,-0.007072136,-0.009003601,0.015030531,-0.004063539,-0.007334963,0.020249892
2020-06-23,0.00267094,-0.001817081,0.00740398,0.002596439,-0.007389163,0.002956081
2020-06-24,0.016338128,0.002427184,0.008268259,0.017758047,0.013027295,0.002526316
2020-06-25,-0.025161629,-0.01937046,-0.016400911,-0.022900763,-0.019595836,-0.011759765
2020-06-26,0.013981,0,-0.00185271,0.007068452,0.003123048,0.00679983
2020-06-29,-0.016086265,-0.004938272,-0.005104408,-0.01403768,-0.015566625,-0.024482904
2020-06-30,0.008623787,0.004962779,0.005130597,0.007493443,0.013282732,0.006057984
2020-07-01,0.000534378,0,-0.019489559,-0.003346969,-0.006242197,-0.018924731
2020-07-02,0.012640199,0.006790123,0.011358258,0.006343284,0.012562814,0.019728189
2020-07-03,0.00826301,0.005518087,0.011230697,0.015943641,0.009925558,0.012897678
2020-07-06,0.015344377,0.012195122,0.00740398,0.011313869,0.011670762,0.009337861
2020-07-07,-0.012021295,-0.00060241,0.002756086,-0.010826416,-0.007285974,0.001261564
2020-07-08,-0.00295498,0,0.005955108,-0.003283473,0.001223242,0.007559849
2020-07-09,0.004707113,0,0.009562842,0.005124451,0.001832621,0.006669446
2020-07-10,-0.009717161,-0.012055455,0.0022553,-0.007283321,-0.007926829,0.001656315
2020-07-13,0.019099352,0.010372178,0.01530153,0.012472487,0.017209588,0.009094667
2020-07-14,-0.001547455,0.002415459,-0.003102837,-0.003623188,0.004229607,-0.005325686
2020-07-15,0.009987946,0.014457831,0,0.016727273,0.002406739,0.003294893
2020-07-16,-0.010912191,-0.001187648,0.003112494,-0.011087268,-0.00060024,-0.010673235
2020-07-17,0.007584899,0,0,0.008318264,0.001201201,0.012448133
2020-07-20,-0.00239521,0.002972652,0.00177305,-0.003586801,0.016796641,-0.00204918
2020-07-21,0.014577259,0.019561352,0.005752212,0.014398848,0.030678466,0.012731006
2020-07-22,-0.003718729,0.000581395,0.010118786,-0.004968062,0.015455066,0.005271695
2020-07-23,-0.005938242,0,0.008275261,-0.009272468,-0.002254791,0.014118596
2020-07-24,-0.005461683,-0.001743173,-0.003887689,-0.003599712,0.002824859,-0.008353222
2020-07-27,0.009610434,0.009895227,0.000433651,0.010476879,0.006760563,0.008423586
2020-07-28,0.0209077,0.000576369,0.008669267,0.025026814,0.002797985,0.014319809
2020-07-29,0.005161505,0,0,0.003487967,-0.002790179,-0.002745098
2020-07-30,-0.000496936,0.001152074,0.001718951,0.002085506,0.007274762,-0.000786473
2020-07-31,-0.007954922,-0.002301496,0.00986701,-0.010405827,-0.007222222,0.001180638
2020-08-03,0,-0.001730104,0.008071368,-0.001752541,0.001119194,0.017688679
2020-08-04,0.012028065,0.016175621,0.014749263,0.009831461,0.025153717,0.007338741
2020-08-05,0.010894685,0.014781126,0.009136213,0.015299026,0.019083969,0.024923313
2020-08-06,0.015839321,0.014565826,0.009053498,0.015753425,0.01070091,0.010475122
2020-08-07,0.004179392,0.003313087,0.005301794,-0.001011463,0.003705664,0.007774898
2020-08-10,0.014887146,0.018161805,0.006490872,0.012487344,0.018987342,0.003673769
2020-08-11,0.012618297,0.021081081,0.007658202,0.019,0.00931677,-0.00329429
2020-08-12,0.005451713,0,-0.0276,-0.005561008,0.004615385,-0.020932795
2020-08-13,-0.000464756,0.011646374,0.011517894,0.011184211,0,0.021755439
2020-08-14,-0.010539368,-0.006279435,-0.01952013,-0.012687053,-0.006125574,-0.031571219
2020-08-18,-0.020676692,-0.040021064,-0.0410618,-0.016144975,-0.041602465,-0.03373768
2020-08-19,0.003518874,0.010422381,0.016868512,0.005023443,0.019292605,0.024715575
2020-08-20,-0.038571884,-0.034201954,-0.028923862,-0.040986338,-0.033123028,-0.034839204
2020-08-21,0.015086207,0.006745363,0.003504161,0.008339124,0.014681892,0.004363348
2020-08-24,0.011105667,-0.003908431,0.024443474,0.008270159,0.005359057,0.029225908
2020-08-25,0.013083508,0.034753363,0.022155944,0.015721121,0.024520256,0.019186493
2020-08-26,0.000159439,-0.002708559,0.01167153,0.001345895,-0.008844953,0.00188253
2020-08-27,-0.008927148,-0.004345464,-0.005356407,-0.006384409,-0.015223097,-0.003382187
2020-08-28,0.005308026,-0.001091107,0.002899751,0.002705445,0.010127932,0.006410256
2020-08-31,-0.01616,0.001638449,0.009087154,-0.015851602,0.023746702,0.006744099
2020-09-01,0.007806147,0.012540894,0.004502661,0.002398903,0.009278351,0.002977298
2020-09-02,0.005163789,0.013462574,0.016707416,0.002051282,0.008682329,0.023747681
2020-09-03,0.015090705,0.002656748,0.008416834,0.019447288,0.009113924,0.002537151
2020-09-04,-0.013917444,-0.006889242,-0.01073132,-0.016733601,-0.001003512,-0.016630513
2020-09-07,0.004490778,0.014407684,0.018481318,0.00850919,0.009040683,0.016544118
2020-09-08,0.012773431,-0.004208311,0,0.009112386,-0.007964161,0.002531646
2020-09-09,-0.01229702,-0.014263074,-0.00591716,-0.005016722,-0.020572002,-0.016233766
2020-09-10,0.009577015,0.001607717,0.004761905,0.010084034,0.004610656,0.010634397
2020-09-11,-0.000632411,0.001605136,0.00671406,-0.000665557,0.003059663,-0.000362845
2020-09-14,0.013447239,0.010149573,0.007846214,0.008325008,0.011692933,0.007622505
2020-09-15,0.007805183,0.003172924,0.008174387,0.008586526,0.004020101,0.010806916
2020-09-16,-0.002788104,0.002635741,-0.005019305,-0.000982318,-0.006006006,-0.002494654
2020-09-17,-0.014756135,-0.005257624,-0.007372914,-0.013438217,-0.010070493,-0.015005359
